Product ID,Category,Sub-Category,Product Name,Sales
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573.488
OFF-PA-10000141,Office Supplies,Paper,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",4.36
OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,19.936000000000003
OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",24.672
TEC-PH-10002922,Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,675.96
OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.959999999999997
TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.74399999999997
OFF-AR-10001954,Office Supplies,Art,Newell 331,19.56
TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,1439.92
OFF-AR-10001573,Office Supplies,Art,American Pencil,9.32
OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24
OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,7.218
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",15.42
TEC-PH-10004700,Technology,Phones,PowerGen Dual USB Car Charger,9.99
OFF-BI-10002412,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,23.2
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),14.352000000000002
OFF-AR-10002956,Office Supplies,Art,Boston 16801 Nautilus Battery Pencil Sharpener,35.216
OFF-AR-10002280,Office Supplies,Art,Staples in misc. colors,38.82
FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882
OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
OFF-ST-10000344,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",10.744
OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88
FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,307.136
OFF-PA-10004451,Office Supplies,Paper,Xerox 222,10.368000000000002
OFF-FA-10004968,Office Supplies,Fasteners,Rubber Band Ball,26.18
TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,1931.9579999999999
TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93
OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",294.93
